DISTRITO_LOCAL,SECCION,TOTAL_VOTANTES,MORENAv,ALIANZAv,LN,VOTOS,PARTICIPACION,MORENA,ALIANZA,DIF,CLASF
1,0724,419,232,98,1499,425,28.352234823215476,54.588235294117645,23.058823529411764,31.52941176470588,MORENA
1,0725,366,186,104,1260,374,29.682539682539684,49.73262032085562,27.807486631016044,21.925133689839573,MORENA
1,0726,343,189,91,1256,364,28.980891719745223,51.92307692307692,25,26.92307692307692,MORENA
1,0727,443,253,108,1386,454,32.75613275613276,55.72687224669603,23.788546255506606,31.938325991189426,MORENA
1,0728,602,358,129,2388,615,25.753768844221106,58.21138211382114,20.975609756097562,37.235772357723576,MORENA
1,0734,144,65,37,448,144,32.142857142857146,45.138888888888886,25.694444444444443,19.444444444444443,MORENA
1,0735,65,30,19,246,65,26.422764227642276,46.15384615384615,29.23076923076923,16.923076923076923,MORENA
2,0631,919,508,272,2079,924,44.44444444444444,54.97835497835498,29.437229437229437,25.541125541125542,MORENA
2,0632,1402,760,413,3458,1431,41.3823019086177,53.10971348707198,28.86093640810622,24.24877707896576,MORENA
2,0633,279,136,111,600,292,48.666666666666664,46.57534246575342,38.013698630136986,8.561643835616437,MORENA
2,0634,1595,880,519,4273,1659,38.825181371401825,53.04400241109102,31.28390596745027,21.76009644364075,MORENA
2,0635,559,300,165,1207,557,46.147473073736535,53.85996409335727,29.622980251346497,24.236983842010773,MORENA
2,0636,1396,628,627,1579,1410,89.29702343255225,44.53900709219858,44.46808510638298,0.07092198581560183,MORENA
2,0637,241,130,91,610,250,40.98360655737705,52,36.4,15.600000000000001,MORENA
2,0638,4333,2299,1294,11608,4454,38.370089593383874,51.61652447238438,29.05253704535249,22.563987427031886,MORENA
2,0639,241,130,91,532,250,46.99248120300752,52,36.4,15.600000000000001,MORENA
2,0640,513,269,182,1062,517,48.68173258003767,52.030947775628626,35.20309477756286,16.827852998065765,MORENA
2,0641,544,240,232,1094,557,50.914076782449726,43.08797127468582,41.651705565529625,1.4362657091561957,MORENA
2,0642,670,348,194,1326,676,50.98039215686274,51.4792899408284,28.698224852071007,22.781065088757394,MORENA
2,0643,704,392,218,1495,719,48.09364548494983,54.520166898470094,30.319888734353267,24.200278164116828,MORENA
2,0644,1541,802,458,3563,1571,44.092057255122086,51.050286441756846,29.153405474220243,21.896880967536603,MORENA
2,0646,526,269,214,1023,540,52.78592375366569,49.81481481481482,39.629629629629626,10.18518518518519,MORENA
2,0647,152,71,69,276,159,57.608695652173914,44.65408805031446,43.39622641509434,1.2578616352201237,MORENA
2,0648,540,276,205,1325,551,41.58490566037736,50.09074410163339,37.20508166969147,12.885662431941924,MORENA
2,0661,3637,1450,789,11097,2731,24.610255023880327,53.09410472354449,28.890516294397656,24.203588429146834,MORENA
2,0729,603,0,0,2885,0,0,NA,NA,NA,NA
2,0730,1057,640,273,5050,1158,22.93069306930693,55.26770293609672,23.575129533678755,31.692573402417963,MORENA
2,0731,678,428,96,1930,684,35.44041450777202,62.57309941520468,14.035087719298245,48.538011695906434,MORENA
2,0733,321,201,69,692,330,47.6878612716763,60.90909090909091,20.90909090909091,40,MORENA
2,0737,343,198,68,1374,358,26.055312954876275,55.3072625698324,18.99441340782123,36.312849162011176,MORENA
2,0738,378,220,54,1027,378,36.806231742940604,58.2010582010582,14.285714285714286,43.91534391534392,MORENA
2,0739,108,79,15,258,144,55.81395348837209,54.861111111111114,10.416666666666666,44.44444444444445,MORENA
2,0740,190,102,20,620,174,28.06451612903226,58.62068965517241,11.494252873563218,47.12643678160919,MORENA
2,0741,605,408,113,1208,611,50.579470198675494,66.77577741407529,18.49427168576105,48.281505728314244,MORENA
2,0742,782,315,304,2829,786,27.783669141039237,40.0763358778626,38.67684478371501,1.399491094147585,MORENA
3,0034,386,234,129,685,384,56.058394160583944,60.9375,33.59375,27.34375,MORENA
3,0035,1030,554,410,1735,1046,60.288184438040346,52.96367112810707,39.19694072657744,13.766730401529635,MORENA
3,0037,162,97,39,281,163,58.00711743772242,59.50920245398773,23.926380368098158,35.582822085889575,MORENA
3,0046,365,178,142,776,367,47.29381443298969,48.501362397820166,38.69209809264305,9.809264305177116,MORENA
3,0232,384,178,187,444,384,86.48648648648648,46.354166666666664,48.697916666666664,-2.34375,ALIANZA
3,0265,332,141,59,527,332,62.99810246679317,42.46987951807229,17.771084337349397,24.698795180722893,MORENA
3,0266,312,128,34,794,317,39.924433249370274,40.37854889589905,10.725552050473187,29.652996845425864,MORENA
3,0278,897,278,314,1187,898,75.65290648694187,30.957683741648108,34.966592427616924,-4.008908685968816,ALIANZA
3,0279,187,65,62,250,203,81.2,32.01970443349754,30.541871921182267,1.4778325123152705,MORENA
3,0283,103,47,51,132,108,81.81818181818181,43.51851851851852,47.22222222222222,-3.7037037037037024,ALIANZA
3,0285,591,284,235,758,589,77.70448548812665,48.217317487266556,39.898132427843805,8.31918505942275,MORENA
3,0292,678,369,212,1785,687,38.48739495798319,53.711790393013104,30.858806404657933,22.85298398835517,MORENA
3,0293,921,488,288,2292,946,41.273996509598604,51.58562367864693,30.443974630021142,21.14164904862579,MORENA
3,0294,540,263,236,1161,560,48.23428079242033,46.964285714285715,42.142857142857146,4.821428571428569,MORENA
3,0295,2086,1120,673,4623,2122,45.900930131948954,52.780395852968894,31.71536286522149,21.065032987747404,MORENA
3,0296,1402,748,452,3556,1440,40.49493813273341,51.94444444444444,31.38888888888889,20.555555555555554,MORENA
3,0297,1861,1020,583,5643,1932,34.23710792131845,52.79503105590062,30.175983436853002,22.61904761904762,MORENA
3,0298,994,532,341,2242,1022,45.5842997323818,52.054794520547944,33.365949119373774,18.68884540117417,MORENA
3,0299,207,118,72,520,218,41.92307692307692,54.12844036697248,33.027522935779814,21.100917431192663,MORENA
3,0300,301,111,168,633,301,47.55134281200632,36.87707641196013,55.81395348837209,-18.93687707641196,ALIANZA
3,0301,426,173,242,819,439,53.6019536019536,39.40774487471526,55.125284738041,-15.71753986332574,ALIANZA
3,0302,473,172,283,968,496,51.239669421487605,34.67741935483871,57.056451612903224,-22.379032258064512,ALIANZA
3,0303,479,170,274,942,493,52.33545647558386,34.48275862068966,55.57809330628803,-21.095334685598374,ALIANZA
3,0304,1020,539,315,2842,1045,36.76988036593948,51.578947368421055,30.14354066985646,21.435406698564595,MORENA
3,0305,609,310,241,1363,637,46.73514306676449,48.665620094191524,37.83359497645212,10.832025117739406,MORENA
3,0306,916,430,369,1994,929,46.589769307923774,46.28632938643703,39.720129171151775,6.5662002152852565,MORENA
3,0307,300,149,117,656,306,46.646341463414636,48.69281045751634,38.23529411764706,10.45751633986928,MORENA
3,0308,772,266,229,1422,568,39.943741209563996,46.83098591549296,40.316901408450704,6.514084507042256,MORENA
3,0309,400,171,193,789,407,51.58428390367554,42.01474201474201,47.42014742014742,-5.405405405405411,ALIANZA
3,0310,774,264,472,1345,784,58.28996282527881,33.673469387755105,60.204081632653065,-26.53061224489796,ALIANZA
3,0311,835,375,382,2241,850,37.92949576082106,44.11764705882353,44.94117647058823,-0.823529411764703,ALIANZA
3,0312,625,266,315,1209,641,53.01902398676592,41.49765990639626,49.141965678627145,-7.6443057722308865,ALIANZA
3,0313,596,293,231,1399,611,43.67405289492495,47.95417348608838,37.806873977086745,10.147299509001634,MORENA
3,0314,1180,450,599,2269,1201,52.930806522697225,37.468776019983345,49.87510407993339,-12.406328059950042,ALIANZA
3,0315,360,144,179,742,367,49.460916442048514,39.237057220708444,48.77384196185286,-9.536784741144416,ALIANZA
3,0316,1192,608,393,3387,1223,36.108650723354,49.71381847914963,32.134096484055604,17.579721995094026,MORENA
3,0317,702,318,307,1443,713,49.410949410949414,44.60028050490884,43.05750350631136,1.5427769985974749,MORENA
3,0319,755,615,155,3828,1432,37.4085684430512,42.94692737430167,10.824022346368714,32.12290502793296,MORENA
3,0320,340,265,32,1086,362,33.333333333333336,73.20441988950276,8.839779005524862,64.3646408839779,MORENA
3,0321,302,264,15,789,306,38.78326996197718,86.27450980392157,4.901960784313726,81.37254901960785,MORENA
3,0322,392,256,56,1155,395,34.1991341991342,64.81012658227849,14.177215189873417,50.63291139240507,MORENA
3,0323,287,214,25,862,290,33.64269141531322,73.79310344827586,8.620689655172415,65.17241379310344,MORENA
3,0324,292,218,22,1326,291,21.945701357466064,74.91408934707904,7.560137457044673,67.35395189003437,MORENA
3,0325,134,109,12,439,137,31.20728929384966,79.56204379562044,8.75912408759124,70.8029197080292,MORENA
3,0326,365,250,31,1450,368,25.379310344827587,67.93478260869566,8.423913043478262,59.51086956521739,MORENA
3,0327,242,122,95,697,246,35.294117647058826,49.59349593495935,38.61788617886179,10.975609756097562,MORENA
3,0328,83,42,17,442,82,18.552036199095024,51.21951219512195,20.73170731707317,30.48780487804878,MORENA
3,0625,1157,613,392,1933,1157,59.85514743921366,52.9818496110631,33.88072601555748,19.10112359550562,MORENA
3,0626,305,163,120,481,314,65.28066528066527,51.910828025477706,38.21656050955414,13.694267515923563,MORENA
3,0629,806,606,136,1406,812,57.7524893314367,74.63054187192118,16.748768472906406,57.881773399014776,MORENA
3,0630,180,127,36,252,181,71.82539682539682,70.1657458563536,19.88950276243094,50.27624309392266,MORENA
3,1323,899,459,322,1912,906,47.38493723849373,50.66225165562914,35.54083885209713,15.12141280353201,MORENA
3,1324,915,541,213,1912,927,48.48326359832636,58.36030204962244,22.977346278317153,35.38295577130529,MORENA
3,1325,752,401,283,1451,756,52.10199862164025,53.042328042328045,37.43386243386244,15.608465608465607,MORENA
3,1326,987,616,231,1983,998,50.32778618255169,61.723446893787575,23.14629258517034,38.57715430861724,MORENA
3,1327,430,248,135,773,429,55.498059508408794,57.80885780885781,31.46853146853147,26.34032634032634,MORENA
3,1328,394,218,141,361,397,109.97229916897507,54.91183879093199,35.51637279596977,19.395465994962215,MORENA
3,1329,568,342,175,1171,589,50.29888983774552,58.064516129032256,29.71137521222411,28.353140916808147,MORENA
3,1330,323,176,103,611,327,53.51882160392799,53.82262996941896,31.498470948012233,22.32415902140673,MORENA
3,1362,282,179,84,505,288,57.02970297029703,62.15277777777778,29.166666666666668,32.986111111111114,MORENA
3,1363,503,292,183,847,511,60.33057851239669,57.142857142857146,35.81213307240704,21.330724070450103,MORENA
3,1364,442,262,154,809,442,54.635352286773795,59.276018099547514,34.841628959276015,24.4343891402715,MORENA
3,1366,204,105,76,405,209,51.60493827160494,50.239234449760765,36.36363636363637,13.875598086124398,MORENA
3,1367,513,245,227,854,523,61.241217798594846,46.845124282982795,43.40344168260038,3.441682600382414,MORENA
4,0123,1021,341,491,2266,1039,45.85172109443954,32.820019249278154,47.25697786333013,-14.436958614051974,ALIANZA
4,0124,501,178,255,974,513,52.6694045174538,34.69785575048733,49.707602339181285,-15.009746588693957,ALIANZA
4,0125,691,223,398,1380,702,50.869565217391305,31.766381766381766,56.6951566951567,-24.92877492877493,ALIANZA
4,0126,1532,505,860,3147,1556,49.44391483952971,32.455012853470436,55.26992287917738,-22.814910025706943,ALIANZA
4,0127,538,177,305,1047,566,54.05921680993314,31.27208480565371,53.886925795053,-22.614840989399294,ALIANZA
4,0128,676,232,338,1559,674,43.232841565105836,34.4213649851632,50.14836795252226,-15.727002967359056,ALIANZA
4,0129,954,328,485,1997,961,48.122183274912366,34.13111342351717,50.46826222684703,-16.33714880332986,ALIANZA
4,0130,1394,529,703,3135,1427,45.51834130781499,37.070777855641204,49.264190609670635,-12.193412754029431,ALIANZA
4,0131,1603,490,956,3123,1609,51.520973422990714,30.45369794903667,59.41578620261032,-28.96208825357365,ALIANZA
4,0132,1007,317,612,2032,1039,51.131889763779526,30.510105871029836,58.90279114533205,-28.392685274302217,ALIANZA
4,0133,607,177,328,1324,587,44.33534743202417,30.153321976149915,55.877342419080065,-25.72402044293015,ALIANZA
4,0135,124,43,61,308,127,41.23376623376623,33.85826771653543,48.031496062992126,-14.173228346456696,ALIANZA
4,0136,639,186,347,1320,640,48.484848484848484,29.0625,54.21875,-25.15625,ALIANZA
4,0137,122,28,61,233,125,53.648068669527895,22.4,48.8,-26.4,ALIANZA
4,0215,625,314,251,1805,633,35.069252077562325,49.60505529225908,39.652448657187996,9.952606635071085,MORENA
4,0216,1629,697,756,3959,1648,41.62667340237434,42.29368932038835,45.87378640776699,-3.5800970873786397,ALIANZA
4,0217,3481,0,0,11632,0,0,NA,NA,NA,NA
4,0222,1014,564,339,3565,1035,29.032258064516128,54.492753623188406,32.7536231884058,21.73913043478261,MORENA
4,0223,4234,2322,1459,10615,4264,40.16957136128121,54.45590994371482,34.21669793621013,20.23921200750469,MORENA
4,0225,652,300,281,1533,661,43.11806914546641,45.38577912254161,42.511346444780635,2.8744326777609714,MORENA
4,0226,749,374,274,1845,758,41.0840108401084,49.340369393139845,36.147757255936675,13.19261213720317,MORENA
4,0229,471,187,178,1243,473,38.05309734513274,39.53488372093023,37.63213530655391,1.902748414376319,MORENA
4,0264,869,476,243,1454,870,59.83493810178817,54.71264367816092,27.93103448275862,26.781609195402304,MORENA
4,1378,438,274,112,1349,438,32.468495181616014,62.55707762557078,25.570776255707763,36.986301369863014,MORENA
4,1379,347,177,128,771,361,46.82230869001297,49.03047091412743,35.45706371191136,13.573407202216067,MORENA
4,1380,251,130,92,553,255,46.1121157323689,50.98039215686274,36.07843137254902,14.901960784313722,MORENA
4,1383,193,110,51,531,198,37.28813559322034,55.55555555555556,25.757575757575758,29.7979797979798,MORENA
4,1384,415,250,104,1059,419,39.565627950897074,59.665871121718375,24.821002386634845,34.84486873508353,MORENA
4,1385,512,317,153,1716,519,30.244755244755243,61.078998073217726,29.479768786127167,31.59922928709056,MORENA
4,1386,316,173,107,1030,316,30.679611650485437,54.74683544303797,33.860759493670884,20.88607594936709,MORENA
4,1387,380,242,88,1257,373,29.67382657120127,64.87935656836461,23.592493297587133,41.28686327077748,MORENA
4,1388,270,151,102,719,277,38.525730180806676,54.51263537906137,36.82310469314079,17.68953068592058,MORENA
4,1389,391,181,149,1058,402,37.996219281663514,45.024875621890544,37.06467661691542,7.960199004975124,MORENA
4,1390,168,100,57,398,171,42.96482412060301,58.47953216374269,33.333333333333336,25.146198830409354,MORENA
4,1391,327,170,116,806,330,40.94292803970223,51.515151515151516,35.15151515151515,16.363636363636367,MORENA
4,1392,244,117,106,508,250,49.21259842519685,46.8,42.4,4.399999999999999,MORENA
4,1393,203,109,73,519,208,40.077071290944126,52.40384615384615,35.09615384615385,17.307692307692307,MORENA
4,1394,221,105,98,546,230,42.124542124542124,45.65217391304348,42.608695652173914,3.0434782608695627,MORENA
4,1395,135,63,53,267,135,50.561797752808985,46.666666666666664,39.25925925925926,7.407407407407405,MORENA
4,1408,503,159,296,1347,508,37.71343726800297,31.299212598425196,58.267716535433074,-26.968503937007878,ALIANZA
4,1409,714,401,239,2514,734,29.196499602227526,54.63215258855586,32.561307901907355,22.070844686648506,MORENA
4,1410,1156,738,319,5666,1176,20.755382986233673,62.755102040816325,27.125850340136054,35.62925170068027,MORENA
4,1411,144,98,31,510,148,29.019607843137255,66.21621621621621,20.945945945945947,45.27027027027026,MORENA
4,1412,159,106,34,671,163,24.29210134128167,65.03067484662577,20.858895705521473,44.171779141104295,MORENA
4,1413,172,121,30,554,173,31.227436823104693,69.94219653179191,17.341040462427745,52.601156069364166,MORENA
4,1414,270,152,85,755,280,37.086092715231786,54.285714285714285,30.357142857142858,23.928571428571427,MORENA
4,1415,114,75,27,396,118,29.7979797979798,63.559322033898304,22.88135593220339,40.67796610169491,MORENA
4,1418,217,125,63,686,223,32.50728862973761,56.053811659192824,28.251121076233183,27.80269058295964,MORENA
4,1419,166,88,56,634,172,27.129337539432175,51.16279069767442,32.55813953488372,18.604651162790695,MORENA
4,1420,216,146,46,757,225,29.722589167767502,64.88888888888889,20.444444444444443,44.44444444444444,MORENA
4,1421,133,75,36,506,137,27.07509881422925,54.74452554744526,26.277372262773724,28.467153284671532,MORENA
4,1422,101,77,17,458,104,22.707423580786028,74.03846153846153,16.346153846153847,57.692307692307686,MORENA
4,1423,124,75,34,396,124,31.31313131313131,60.483870967741936,27.419354838709676,33.064516129032256,MORENA
4,1424,163,111,28,538,163,30.297397769516728,68.09815950920246,17.177914110429448,50.92024539877301,MORENA
4,1425,162,95,49,442,162,36.65158371040724,58.641975308641975,30.246913580246915,28.39506172839506,MORENA
4,1426,107,62,30,296,107,36.148648648648646,57.94392523364486,28.037383177570092,29.90654205607477,MORENA
4,1427,191,105,66,456,190,41.666666666666664,55.26315789473684,34.73684210526316,20.526315789473685,MORENA
4,1428,141,63,62,380,145,38.1578947368421,43.44827586206897,42.758620689655174,0.6896551724137936,MORENA
4,1429,237,141,68,715,240,33.56643356643357,58.75,28.333333333333332,30.416666666666668,MORENA
4,1430,241,125,81,604,248,41.05960264900662,50.403225806451616,32.66129032258065,17.741935483870968,MORENA
4,1431,175,88,63,440,179,40.68181818181818,49.16201117318436,35.19553072625698,13.966480446927378,MORENA
4,1432,294,174,90,736,295,40.08152173913044,58.983050847457626,30.508474576271187,28.47457627118644,MORENA
4,1433,143,81,47,426,148,34.74178403755869,54.729729729729726,31.756756756756758,22.97297297297297,MORENA
4,1434,171,110,45,549,174,31.693989071038253,63.2183908045977,25.862068965517242,37.356321839080465,MORENA
4,1437,218,151,50,586,223,38.05460750853242,67.71300448430493,22.42152466367713,45.2914798206278,MORENA
4,1438,881,321,109,2065,481,23.292978208232444,66.73596673596674,22.66112266112266,44.07484407484408,MORENA
4,1439,599,380,162,2405,621,25.821205821205822,61.191626409017715,26.08695652173913,35.10466988727859,MORENA
4,1440,231,156,49,839,228,27.175208581644814,68.42105263157895,21.49122807017544,46.92982456140351,MORENA
4,1441,247,176,49,1024,252,24.609375,69.84126984126983,19.444444444444443,50.39682539682539,MORENA
5,0159,330,149,137,1055,342,32.41706161137441,43.567251461988306,40.058479532163744,3.5087719298245617,MORENA
5,0160,127,44,73,444,131,29.504504504504503,33.587786259541986,55.725190839694655,-22.13740458015267,ALIANZA
5,0161,107,45,48,386,109,28.238341968911918,41.28440366972477,44.03669724770642,-2.7522935779816535,ALIANZA
5,0162,592,230,286,1711,602,35.184102863822325,38.205980066445186,47.50830564784053,-9.302325581395344,ALIANZA
5,0163,490,227,180,1883,487,25.86298459904408,46.61190965092403,36.96098562628337,9.65092402464066,MORENA
5,0164,416,213,139,1329,421,31.677953348382243,50.5938242280285,33.0166270783848,17.577197149643702,MORENA
5,0165,366,161,138,1226,361,29.445350734094617,44.59833795013851,38.227146814404435,6.3711911357340725,MORENA
5,0166,99,57,34,444,108,24.324324324324323,52.77777777777778,31.48148148148148,21.296296296296298,MORENA
5,0167,240,113,93,836,253,30.263157894736842,44.66403162055336,36.758893280632414,7.905138339920946,MORENA
5,0168,199,96,87,591,205,34.686971235194584,46.829268292682926,42.4390243902439,4.390243902439025,MORENA
5,0170,172,69,83,469,172,36.67377398720682,40.116279069767444,48.25581395348837,-8.139534883720927,ALIANZA
5,0171,897,350,434,1822,977,53.62239297475302,35.823950870010236,44.42169907881269,-8.597748208802457,ALIANZA
5,0172,197,78,100,522,199,38.122605363984675,39.19597989949749,50.25125628140704,-11.05527638190955,ALIANZA
5,0174,391,164,185,934,403,43.147751605995715,40.69478908188586,45.90570719602977,-5.210918114143915,ALIANZA
5,0175,676,253,355,1657,678,40.91732045866023,37.315634218289084,52.359882005899706,-15.044247787610622,ALIANZA
5,0176,319,142,152,827,326,39.41958887545345,43.558282208588956,46.625766871165645,-3.067484662576689,ALIANZA
5,0178,367,192,135,1160,369,31.810344827586206,52.03252032520325,36.58536585365854,15.447154471544714,MORENA
5,0179,419,203,155,1339,427,31.889469753547424,47.540983606557376,36.29976580796253,11.241217798594846,MORENA
5,0180,651,370,190,2279,659,28.916191311978938,56.14567526555387,28.83156297420334,27.31411229135053,MORENA
5,0181,223,118,78,761,231,30.35479632063075,51.082251082251084,33.76623376623377,17.316017316017316,MORENA
5,0183,168,63,93,462,172,37.22943722943723,36.627906976744185,54.06976744186046,-17.441860465116278,ALIANZA
5,0184,448,183,220,1247,457,36.64795509222133,40.0437636761488,48.14004376367615,-8.096280087527347,ALIANZA
5,0185,803,300,414,2049,819,39.97071742313324,36.63003663003663,50.54945054945055,-13.91941391941392,ALIANZA
5,0186,260,130,87,399,264,66.16541353383458,49.24242424242424,32.95454545454545,16.28787878787879,MORENA
5,0187,460,245,158,1242,475,38.24476650563607,51.578947368421055,33.26315789473684,18.315789473684212,MORENA
5,0188,373,162,168,1013,387,38.203356367226064,41.86046511627907,43.41085271317829,-1.5503875968992205,ALIANZA
5,0190,249,87,148,633,258,40.758293838862556,33.72093023255814,57.36434108527132,-23.64341085271318,ALIANZA
5,0191,355,178,140,1188,364,30.63973063973064,48.9010989010989,38.46153846153846,10.439560439560438,MORENA
5,0192,1199,0,210,2709,692,25.544481358434847,0,30.346820809248555,-30.346820809248555,ALIANZA
