"DIPUTACIONES LOCALES (INCLUYE RESULTADOS DE MAYORIA RELATIVA Y REPRESENTACION PROPORCIONAL)"
"07/06/2021 13:19 (UTC-7)"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATÁLOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
3773,3804,31,3773,100.0000,3166,83.9120,23.0585,607,1841000,809615,803712,43.9769

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,CC_PAN_PRI_PRD,CC_MORENA_PT_PVEM_NA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,CAND_IND_JHZM,CAND_IND_JME,CAND_IND_CSVB,CAND_IND_JTVG,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'260328B0100,'260328B01003,26,SONORA,003,CABORCA,0328,0001,B,0,2,3,403,74,9,83,-,-,16,21,"Sin dato",1,1,1,30,3,"Sin dato","Sin dato",1,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,8,83,82,442,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,a36ae3c1b1c2bfb6272efd6ecc29517da71da9ab3baa633b58e546723204058f,"06/06/2021 22:31:00","06/06/2021 23:00:52","06/06/2021 23:00:58",CATD,ESCANER,"ACTA PREP"
'260625B0100,'260625B01003,26,SONORA,003,CABORCA,0625,0001,B,0,2,3,305,384,0,0,-,-,49,95,1,12,6,13,152,21,1,7,21,-,-,-,-,0,1,0,0,0,5,384,384,645,44,,1,D,d8bb998230fdaf9566ee702fe3ec7fafe5a318c546bf25a31c5f653e168bb264,"07/06/2021 22:56:00","07/06/2021 05:31:39","07/06/2021 05:32:06",CATD,MOVIL,"ACTA PREP"
'260625C0100,'260625C01003,26,SONORA,003,CABORCA,0625,0001,C,0,2,3,0,383,0,383,-,-,45,119,2,13,9,24,135,15,2,4,11,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,4,383,383,644,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,39c7808a371072aa277a0f541db3414024312e8d4e00f07e033e89aaba256b38,"07/06/2021 00:29:00","07/06/2021 04:26:18","07/06/2021 04:26:24",CATD,MOVIL,"ACTA PREP"
'260625C0200,'260625C02003,26,SONORA,003,CABORCA,0625,0002,C,0,2,3,0,0,0,0,-,-,35,135,1,9,10,21,113,24,3,2,29,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,8,300,390,644,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,76f5c511a92939b8dcd58a83f5038063743ae925b1a6f31fbc13cd34f13a6f79,"07/06/2021 00:46:00","07/06/2021 04:29:24","07/06/2021 04:29:31",CATD,MOVIL,"ACTA PREP"
'260626B0100,'260626B01003,26,SONORA,003,CABORCA,0626,0001,B,0,1,3,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,482,44,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,D,,"07/06/2021 10:04:00","07/06/2021 10:08:57","07/06/2021 10:08:57",CATD,MOVIL,"ACTA PREP"
'260626C0100,'260626C01003,26,SONORA,003,CABORCA,0626,0001,C,0,1,3,210,315,8,314,-,-,27,115,1,13,12,21,111,5,0,2,2,-,-,-,-,1,0,0,0,0,4,314,314,481,44,,1,D,c4d984a62c0868bb45ffbb42e588b7282984bc4b0eab73ff459e94384dd07ed9,"07/06/2021 23:36:00","07/06/2021 03:54:55","07/06/2021 03:58:08",CATD,MOVIL,"ACTA PREP"
'260629B0100,'260629B01003,26,SONORA,003,CABORCA,0629,0001,B,0,2,3,323,420,2,422,-,-,6,129,0,2,2,12,249,3,0,2,8,-,-,-,-,0,0,0,0,0,9,422,422,703,44,,1,I,623cb08341e72b45d40f37076230c5dbac7f5d8429316107a028a7adb50e79dc,"07/06/2021 01:56:00","07/06/2021 04:52:34","07/06/2021 04:52:47",CATD,MOVIL,"ACTA PREP"
'260629C0100,'260629C01003,26,SONORA,003,CABORCA,0629,0001,C,0,2,3,359,386,2,388,-,-,6,121,2,3,2,9,228,4,0,4,3,-,-,-,-,0,0,0,0,0,6,388,388,703,44,,1,I,e3124b3c9274d785ed2728258ab73ec81abe721c94cf8c8202fcf134a132bf88,"07/06/2021 02:02:00","07/06/2021 04:57:11","07/06/2021 04:57:15",CATD,MOVIL,"ACTA PREP"
'260630B0100,'260630B01003,26,SONORA,003,CABORCA,0630,0001,B,0,2,3,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194,44,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,I,,"07/06/2021 02:22:00","07/06/2021 08:08:04","07/06/2021 08:08:04",CATD,MOVIL,"ACTA PREP"
'260630E0100,'260630E01003,26,SONORA,003,CABORCA,0630,0001,E,0,2,3,0,31,1,0,-,-,0,9,1,0,3,0,13,0,0,0,4,-,-,-,-,0,0,0,0,0,2,32,32,58,44,,1,I,ba823ea4c86cea354fa8136201b0c4f95bb4d706311c5810931cdf2a5f5e0005,"07/06/2021 00:51:00","07/06/2021 04:29:03","07/06/2021 04:29:14",CATD,MOVIL,"ACTA PREP"
'261323B0100,'261323B01003,26,SONORA,003,CABORCA,1323,0001,B,0,1,3,368,312,2,314,-,-,5,101,11,4,46,18,111,5,6,0,1,-,-,-,-,2,0,0,0,0,4,314,314,638,44,,1,D,dabe7ef0baf8b8007e7ecb9c6357958e14e6b8c9ba857d657b786e248c7bfe54,"07/06/2021 00:39:14","07/06/2021 03:08:23","07/06/2021 03:08:28",CASILLA,MOVIL,"ACTA PREP"
'261323C0100,'261323C01003,26,SONORA,003,CABORCA,1323,0001,C,0,1,3,402,274,5,281,-,-,2,71,9,2,34,16,113,6,6,1,7,-,-,-,-,5,0,0,0,0,9,281,281,637,44,,1,D,fb47b804a5413bd9bd413f47fd3e2cef42e771683fa3e9ebabe92368ba460b27,"07/06/2021 00:47:38","07/06/2021 03:14:43","07/06/2021 03:15:03",CASILLA,MOVIL,"ACTA PREP"
'261323C0200,'261323C02003,26,SONORA,003,CABORCA,1323,0002,C,0,1,3,363,313,3,316,-,-,3,90,8,0,58,18,113,11,3,0,0,-,-,-,-,1,0,0,1,0,10,316,316,637,44,,1,D,311a937a728c6806c9c2eb2e5f22885528a42ba9c31673beb7ba6e9a7da2c9d0,"07/06/2021 00:55:47","07/06/2021 03:18:14","07/06/2021 03:18:18",CASILLA,MOVIL,"ACTA PREP"
'261324B0100,'261324B01003,26,SONORA,003,CABORCA,1324,0001,B,0,2,3,377,301,3,304,-,-,11,47,13,4,75,14,104,6,12,0,2,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,16,304,304,638,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,76d0cbfb6a704bc7a04c2a2334f17442f6105f2453365e564058957354c4dba7,"06/06/2021 23:13:53","07/06/2021 01:14:13","07/06/2021 01:14:20",CASILLA,MOVIL,"ACTA PREP"
'261324C0100,'261324C01003,26,SONORA,003,CABORCA,1324,0001,C,0,2,3,369,307,5,312,-,-,20,43,12,0,65,14,118,6,10,4,2,-,-,-,-,2,1,0,1,0,14,312,312,637,44,,1,D,4df87bce99b69170e1ac26321c1bbd7c31c5616963e474813841cf3907888527,"06/06/2021 22:32:41","06/06/2021 23:19:18","06/06/2021 23:20:51",CASILLA,MOVIL,"ACTA PREP"
'261324C0200,'261324C02003,26,SONORA,003,CABORCA,1324,0002,C,0,2,3,370,307,4,311,-,-,5,56,11,0,56,33,131,1,5,1,0,-,-,-,-,0,0,0,1,0,8,311,308,637,44,,1,D,0bd7cab50ee5268363602cc26bad910d5ea70937857d68afd28733fcc29c4945,"06/06/2021 23:04:13","07/06/2021 00:55:44","07/06/2021 00:55:55",CASILLA,MOVIL,"ACTA PREP"
'261325B0100,'261325B01003,26,SONORA,003,CABORCA,1325,0001,B,0,1,3,392,378,3,378,-,-,0,120,0,3,72,23,138,8,4,0,2,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,9,0,379,726,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,4a47fa12052641020a536edebe4262760cb14ba1fc534831baabb7013eedb250,"07/06/2021 01:57:41","07/06/2021 03:33:16","07/06/2021 03:36:49",CASILLA,MOVIL,"ACTA PREP"
'261325C0100,'261325C01003,26,SONORA,003,CABORCA,1325,0001,C,0,1,3,391,374,4,378,-,-,5,117,4,2,66,17,139,16,3,1,1,-,-,-,-,3,1,0,0,0,3,378,378,725,44,,1,D,b26e7e2330b868358a4c7b8a6f1ca774ce804d109a467992dade24abdc8d753b,"06/06/2021 22:36:21","06/06/2021 23:28:01","06/06/2021 23:28:09",CASILLA,MOVIL,"ACTA PREP"
'261326B0100,'261326B01003,26,SONORA,003,CABORCA,1326,0001,B,0,1,3,363,341,1,323,-,-,4,64,3,0,71,15,145,2,18,1,0,-,-,-,-,0,0,0,0,0,16,339,339,661,44,,1,D,569c3dc6bc7372144525b0620cd04f4320b62e7de97a8c00f88eba35d83ae014,"06/06/2021 23:36:13","07/06/2021 01:59:10","07/06/2021 01:59:30",CASILLA,MOVIL,"ACTA PREP"
'261326C0100,'261326C01003,26,SONORA,003,CABORCA,1326,0001,C,0,1,3,389,314,3,291,-,-,3,54,4,0,68,12,134,1,14,0,1,-,-,-,-,0,0,0,0,0,10,301,301,661,44,,1,D,88dd3e27252b82875facff5eec83f8ae964eed61e39accab7d47fb175797641e,"07/06/2021 01:18:00","07/06/2021 04:41:08","07/06/2021 04:41:15",CATD,MOVIL,"ACTA PREP"
'261326C0200,'261326C02003,26,SONORA,003,CABORCA,1326,0002,C,0,1,3,367,332,6,347,-,-,0,0,0,1,55,19,161,9,22,3,3,-,-,-,-,74,0,0,0,0,9,356,356,661,44,,1,D,5e60d0d1455799f16e32feff12d0c9444120e413aaad775d4c3f664cc44b81d4,"07/06/2021 01:22:43","07/06/2021 03:29:17","07/06/2021 03:29:53",CASILLA,MOVIL,"ACTA PREP"
'261327B0100,'261327B01003,26,SONORA,003,CABORCA,1327,0001,B,0,1,3,207,224,7,224,-,-,5,51,4,0,38,14,92,9,3,0,0,-,-,-,-,3,0,0,1,0,4,224,224,387,44,,1,D,97bdcdbf8a73ad3f6daa53d0bfa56ce3e7e9fd1dcfa3ddacc49607d08cd388ec,"06/06/2021 21:29:35","06/06/2021 21:34:58","06/06/2021 21:35:05",CASILLA,MOVIL,"ACTA PREP"
'261327C0100,'261327C01003,26,SONORA,003,CABORCA,1327,0001,C,0,1,3,224,202,4,206,-,-,8,38,3,2,33,15,95,4,2,1,1,-,-,-,-,0,0,0,0,0,2,206,204,386,44,,1,D,67fc83653fc98f13409616ed002d30a75866831df52afe115a165b81025a76cf,"06/06/2021 22:35:07","06/06/2021 23:28:02","06/06/2021 23:28:06",CASILLA,MOVIL,"ACTA PREP"
'261328B0100,'261328B01003,26,SONORA,003,CABORCA,1328,0001,B,0,1,3,202,200,3,203,-,-,"Sin dato",56,"Sin dato",1,43,13,81,4,2,"Sin dato",2,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,1,203,203,361,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,51a9c65e4cb4b03b3670ba5685a8628633244ad3ab6b3689c133168cae844751,"06/06/2021 21:17:29","06/06/2021 23:33:59","06/06/2021 23:35:01",CASILLA,MOVIL,"ACTA PREP"
'261328S0100,'261328S01003emr,26,SONORA,003,CABORCA,1328,0001,S,0,1,3emr,850,70,0,70,-,-,6,21,"Sin dato","Sin dato",4,4,28,3,2,"Sin dato","Sin dato",-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,0,70,68,0,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,6e360df9bf71ee9de47e77633c096acdbb1849a983cd9063244d3c06e9e61f65,"07/06/2021 16:20:00","07/06/2021 04:21:48","07/06/2021 04:21:55",CATD,MOVIL,"ACTA PREP"
'261329B0100,'261329B01003,26,SONORA,003,CABORCA,1329,0001,B,0,1,3,360,252,5,252,-,-,7,67,4,4,26,11,120,8,1,0,4,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",1,16,252,269,586,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,04f09f3871404b8193053455c0722a25a8bdbf27759d19012f8b8c22ebbdfb0d,"06/06/2021 21:44:51","06/06/2021 21:52:54","06/06/2021 21:53:01",CASILLA,MOVIL,"ACTA PREP"
'261329C0100,'261329C01003,26,SONORA,003,CABORCA,1329,0001,C,0,1,3,310,315,4,0,-,-,"Sin dato","Sin dato","Sin dato",2,52,16,128,8,10,2,1,-,-,-,-,90,"Sin dato","Sin dato","Sin dato",0,10,319,319,585,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,4b6e11410b23c91db324c246f4ea1e044d4a121a0012d18168840c750b0fe29b,"07/06/2021 23:32:00","07/06/2021 03:55:16","07/06/2021 03:55:23",CATD,MOVIL,"ACTA PREP"
'261330B0100,'261330B01003,26,SONORA,003,CABORCA,1330,0001,B,0,1,3,0,323,4,328,-,-,11,69,14,0,58,30,115,8,7,0,0,-,-,-,-,6,0,0,0,0,10,328,328,611,44,,1,D,9bb262906e952730f3e2313c10bc031b6ecc737d473bd37a2fb67b8f3b8cd0b8,"06/06/2021 23:36:39","07/06/2021 01:59:55","07/06/2021 02:00:01",CASILLA,MOVIL,"ACTA PREP"
'261362B0100,'261362B01003,26,SONORA,003,CABORCA,1362,0001,B,0,2,3,157,134,1,136,-,-,17,37,0,0,0,0,65,6,0,2,1,-,-,-,-,1,0,0,0,0,7,136,136,249,44,,1,I,8e2577d53504183d4ec3b6fa9cca26b71d19715af099ad8f526eed0628a788cc,"06/06/2021 23:47:00","07/06/2021 03:58:56","07/06/2021 03:59:22",CATD,MOVIL,"ACTA PREP"
'261362E0100,'261362E01003,26,SONORA,003,CABORCA,1362,0001,E,0,2,3,148,148,4,152,-,-,17,28,1,3,4,2,89,2,0,0,1,-,-,-,-,1,1,0,0,0,3,152,152,256,44,,1,I,d939059eff91f51dccae3c8d6b98242d911e0fbd2112ef43b593f09e494fc6ba,"07/06/2021 23:57:00","07/06/2021 04:04:04","07/06/2021 04:04:12",CATD,MOVIL,"ACTA PREP"
'261363B0100,'261363B01003,26,SONORA,003,CABORCA,1363,0001,B,0,1,3,206,254,6,257,-,-,10,91,3,3,0,0,124,3,0,2,0,-,-,-,-,5,0,1,1,0,14,257,257,424,44,,1,D,9f8da599cbe98f355a9d5f41215860d523af1a863f6f402e8116b7f1eac9a97a,"07/06/2021 04:15:00","07/06/2021 04:16:48","07/06/2021 04:16:56",CATD,MOVIL,"ACTA PREP"
'261363C0100,'261363C01003,26,SONORA,003,CABORCA,1363,0001,C,0,1,3,216,249,0,253,-,-,8,73,4,1,1,2,142,4,0,2,2,-,-,-,-,7,4,0,0,0,3,253,253,423,44,,1,D,b4f73942f1613311108908cf7cd578300b7cc7238639ea40626f0b5a81cc0f0b,"07/06/2021 00:38:00","07/06/2021 04:24:49","07/06/2021 04:25:25",CATD,MOVIL,"ACTA PREP"
'261364B0100,'261364B01003,26,SONORA,003,CABORCA,1364,0001,B,0,1,3,237,206,6,212,-,-,10,68,2,2,3,2,108,3,1,1,0,-,-,-,-,3,3,1,0,0,5,212,212,405,44,,1,D,e025fcf28bc9b656833e5eb121a7570dcc05161544b90560136f36fd62e6d79b,"07/06/2021 03:41:00","07/06/2021 03:43:12","07/06/2021 03:43:17",CATD,MOVIL,"ACTA PREP"
'261364C0100,'261364C01003,26,SONORA,003,CABORCA,1364,0001,C,0,1,3,207,236,3,239,-,-,16,16,4,1,3,5,115,4,0,3,2,-,-,-,-,5,3,0,0,0,3,239,180,404,44,,1,D,ba546f7ddd14acdcded4037df814524a2edbf1e7435a4d1ddb2c311f06d0aaf7,"07/06/2021 23:54:00","07/06/2021 04:00:29","07/06/2021 04:04:13",CATD,MOVIL,"ACTA PREP"
'261365B0100,'261365B01003,26,SONORA,003,CABORCA,1365,0001,B,0,1,3,352,0,0,402,-,-,30,121,4,1,1,5,210,5,1,0,1,-,-,-,-,7,2,0,0,0,14,402,402,711,44,,1,D,d6900614702a975d3f6753e734979204c2a3c5eeb31eabe6ca6e1d2f7e339f4c,"07/06/2021 00:18:00","07/06/2021 04:15:14","07/06/2021 04:15:48",CATD,MOVIL,"ACTA PREP"
'261366B0100,'261366B01003,26,SONORA,003,CABORCA,1366,0001,B,0,2,3,0,0,0,0,-,-,18,90,"Sin dato",8,5,7,70,7,1,2,6,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,6,220,220,405,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,8f822aa34e0331d663c1a249552efddcecafd9b226c2f1aad2515c4dbc010313,"07/06/2021 23:05:00","07/06/2021 05:30:43","07/06/2021 05:30:51",CATD,MOVIL,"ACTA PREP"
'261366C0100,'261366C01003,26,SONORA,003,CABORCA,1366,0001,C,0,2,3,237,205,0,205,-,-,10,90,"Sin dato",8,2,6,74,4,"Sin dato","Sin dato",4,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,11,205,209,405,44,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,a54a1659260edcf455f3a0591fe3b51fcaba643146625df02e6095b99948b62d,"07/06/2021 23:13:00","07/06/2021 03:56:12","07/06/2021 03:56:19",CATD,MOVIL,"ACTA PREP"
'261367B0100,'261367B01003,26,SONORA,003,CABORCA,1367,0001,B,0,1,3,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,427,44,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,D,,"07/06/2021 10:05:00","07/06/2021 10:08:37","07/06/2021 10:08:37",CATD,MOVIL,"ACTA PREP"
'261367C0100,'261367C01003,26,SONORA,003,CABORCA,1367,0001,C,0,1,3,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,427,44,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,D,,"07/06/2021 10:09:00","07/06/2021 10:09:22","07/06/2021 10:09:22",CATD,MOVIL,"ACTA PREP"
'260123B0100,'260123B01003,26,SONORA,004,NOGALES,0123,0001,B,0,1,3,349,258,4,263,-,72,63,52,5,-,-,30,-,-,6,2,7,-,-,-,-,3,0,0,0,0,23,263,263,567,46,,1,D,854505275d5f1dff75ed4cf1aec9c6d17ab7a95e96e165c4e703e3af44a2bdd6,"06/06/2021 23:41:21","07/06/2021 02:08:52","07/06/2021 02:09:06",CASILLA,MOVIL,"ACTA PREP"
'260123C0100,'260123C01003,26,SONORA,004,NOGALES,0123,0001,C,0,1,3,352,258,2,260,-,76,42,62,6,-,-,21,-,-,7,7,5,-,-,-,-,10,1,0,1,2,18,260,258,567,46,,1,D,2c46846ab3fa5da8756789e7479e6efe9f5806087ea3719b614436a43b137ccf,"07/06/2021 00:01:07","07/06/2021 02:42:17","07/06/2021 02:42:22",CASILLA,MOVIL,"ACTA PREP"
'260123C0200,'260123C02003,26,SONORA,004,NOGALES,0123,0002,C,0,1,3,366,240,5,246,-,73,61,34,3,-,-,32,-,-,6,4,6,-,-,-,-,8,3,1,0,0,15,246,246,566,46,,1,D,30f288b1dc6f9ccd0e35a7c2ed22a5c28b37ea0723f65aaac825388c44188207,"07/06/2021 00:42:35","07/06/2021 03:08:49","07/06/2021 03:08:58",CASILLA,MOVIL,"ACTA PREP"
'260123C0300,'260123C03003,26,SONORA,004,NOGALES,0123,0003,C,0,1,3,339,264,7,271,-,67,60,44,3,-,-,36,-,-,9,7,13,-,-,-,-,5,0,0,0,0,27,271,271,566,46,,1,D,42d76a8dcefa45c770ec56048dc2ccd115a191e0fa9b1c6ee109d14138320d5a,"06/06/2021 23:53:28","07/06/2021 02:35:50","07/06/2021 02:36:29",CASILLA,MOVIL,"ACTA PREP"
'260124B0100,'260124B01003,26,SONORA,004,NOGALES,0124,0001,B,0,1,3,266,260,6,267,-,61,68,68,7,-,-,21,-,-,4,6,7,-,-,-,-,11,1,0,0,0,13,267,267,487,46,,1,D,3ce77ac516ed889d2249fb2f379c82fab57781213d30f8f8441e2db882a90a4a,"06/06/2021 22:16:36","06/06/2021 22:47:08","06/06/2021 22:47:31",CASILLA,MOVIL,"ACTA PREP"
'260124C0100,'260124C01003,26,SONORA,004,NOGALES,0124,0001,C,0,1,3,283,241,5,246,-,77,57,48,11,-,-,15,-,-,3,3,9,-,-,-,-,2,3,0,1,0,18,246,247,487,46,,1,D,86f2f35b648f297abfeecaafc611e6827bac9d64bf15f4313870a06338d18210,"06/06/2021 23:23:14","07/06/2021 01:33:15","07/06/2021 01:33:36",CASILLA,MOVIL,"ACTA PREP"
'260125B0100,'260125B01003,26,SONORA,004,NOGALES,0125,0001,B,0,1,3,384,345,5,353,-,87,84,103,9,-,-,27,-,-,3,4,9,-,-,-,-,6,1,0,0,0,20,353,353,690,46,,1,D,d9b6362006ef04710fd70b252a136464e51a36ff168ece0bdac4c90ceee3af54,"07/06/2021 00:03:25","07/06/2021 02:41:11","07/06/2021 02:41:14",CASILLA,MOVIL,"ACTA PREP"
'260125C0100,'260125C01003,26,SONORA,004,NOGALES,0125,0001,C,0,1,3,384,346,6,351,-,89,85,90,3,-,-,23,-,-,9,4,11,-,-,-,-,12,3,0,0,0,22,351,351,690,46,,1,D,b6d430374e90e1ad69fe2d4dfcda7c2b17486de51077225289c7702f9cfc85a8,"07/06/2021 04:40:00","07/06/2021 04:42:28","07/06/2021 04:42:35",CATD,MOVIL,"ACTA PREP"
'260126B0100,'260126B01003,26,SONORA,004,NOGALES,0126,0001,B,0,1,3,368,298,3,306,-,90,59,72,6,-,-,38,-,-,7,3,7,-,-,-,-,11,0,0,0,0,13,306,306,630,46,,1,D,9dba0e573417affd0db7be4911a69eaa8f0d38973566d425dfb8972fb8fda328,"07/06/2021 00:52:58","07/06/2021 03:17:08","07/06/2021 03:17:13",CASILLA,MOVIL,"ACTA PREP"
'260126C0100,'260126C01003,26,SONORA,004,NOGALES,0126,0001,C,0,1,3,369,301,4,305,-,70,71,97,4,-,-,30,-,-,4,5,4,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,20,305,305,630,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,2f58c1f1d9d60dcad0e5436706f2df6607fe381c06d57d6b5ab1b8f6e5003bb4,"06/06/2021 23:03:50","07/06/2021 00:51:34","07/06/2021 00:52:19",CASILLA,MOVIL,"ACTA PREP"
'260126C0200,'260126C02003,26,SONORA,004,NOGALES,0126,0002,C,0,1,3,356,311,4,313,-,90,55,79,6,-,-,30,-,-,10,11,10,-,-,-,-,3,0,0,0,0,19,313,313,629,46,,1,D,539e0146d7bab80bc2874387380f254f1df4bccf88b460006d27e91f646eeeb0,"07/06/2021 00:56:42","07/06/2021 03:19:15","07/06/2021 03:19:37",CASILLA,MOVIL,"ACTA PREP"
'260126C0300,'260126C03003,26,SONORA,004,NOGALES,0126,0003,C,0,1,3,363,309,1,309,-,94,68,76,11,-,-,25,-,-,7,2,5,-,-,-,-,6,0,0,0,0,15,309,309,629,46,,1,D,b854f8da3b744d07ed2767d8163ed232ab3a969a05202112505e7a38ddfb86e0,"07/06/2021 05:06:00","07/06/2021 05:08:57","07/06/2021 05:10:36",CATD,MOVIL,"ACTA PREP"
'260126C0400,'260126C04003,26,SONORA,004,NOGALES,0126,0004,C,0,1,3,357,311,4,315,-,98,61,87,11,-,-,27,-,-,10,5,4,-,-,-,-,"Sin dato","Sin dato","Sin dato","Sin dato",0,12,315,315,629,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,554e0d7b257e8b63377e1b4779afd8482e5843d7d0c6f7601f61605cf8cc1ba4,"07/06/2021 04:34:00","07/06/2021 05:06:56","07/06/2021 05:09:05",CATD,MOVIL,"ACTA PREP"
'260127B0100,'260127B01003,26,SONORA,004,NOGALES,0127,0001,B,0,1,3,287,274,7,281,-,81,78,61,7,-,-,23,-,-,0,1,5,-,-,-,-,7,3,0,0,0,15,281,281,524,46,,1,D,1bdb1a82e0ea29e06d55ec23c3e4c9a15e797496f8bb17dba2c45a8f58e7a887,"07/06/2021 00:26:44","07/06/2021 03:00:23","07/06/2021 03:00:49",CASILLA,MOVIL,"ACTA PREP"
'260127C0100,'260127C01003,26,SONORA,004,NOGALES,0127,0001,C,0,1,3,281,280,7,0,-,66,67,77,7,-,-,36,-,-,0,0,4,-,-,-,-,5,2,0,0,0,17,281,281,523,46,,1,D,20d4d77d723d66580ada02a5c81204fa5cda93967b512ff6616aed02b19b6bc3,"07/06/2021 00:17:12","07/06/2021 02:58:06","07/06/2021 02:59:11",CASILLA,MOVIL,"ACTA PREP"
'260128B0100,'260128B01003,26,SONORA,004,NOGALES,0128,0001,B,0,1,3,345,215,5,222,-,59,56,42,5,-,-,16,-,-,2,5,10,-,-,-,-,8,1,0,0,0,18,222,222,520,46,,1,D,214bd27523f2fb6d3dd573a00c5d039b7ee1c1b1254139fe16e860682f710030,"07/06/2021 05:10:00","07/06/2021 05:13:30","07/06/2021 05:13:44",CATD,MOVIL,"ACTA PREP"
'260128C0100,'260128C01003,26,SONORA,004,NOGALES,0128,0001,C,0,1,3,337,224,3,229,-,59,56,51,5,-,-,14,-,-,5,2,4,-,-,-,-,11,3,1,0,1,17,229,229,520,46,,1,D,3c14e63d8f6226f4f043db5accc26f94d8704928b507c3326d473f70a6dd7417,"07/06/2021 04:28:00","07/06/2021 05:08:40","07/06/2021 05:08:45",CATD,MOVIL,"ACTA PREP"
'260128C0200,'260128C02003,26,SONORA,004,NOGALES,0128,0002,C,0,1,3,217,237,6,234,-,70,54,47,5,-,-,17,-,-,4,3,5,-,-,-,-,6,4,0,0,0,19,234,234,519,46,,1,D,26f32fb37e813689ee5c058a93bddc7a65c81161d679f534a8c7a0d060912802,"07/06/2021 14:35:00","07/06/2021 05:09:02","07/06/2021 05:09:25",CATD,MOVIL,"ACTA PREP"
'260129B0100,'260129B01003,26,SONORA,004,NOGALES,0129,0001,B,0,1,3,390,319,5,319,-,89,66,74,11,-,-,18,-,-,8,7,11,-,-,-,-,10,0,0,0,0,27,320,321,666,46,,1,D,9373ee563fb4b918c6312e13a8ee1bdeac7aefeaab7b274db05939e708bfdc29,"06/06/2021 23:03:25","07/06/2021 00:49:20","07/06/2021 00:50:40",CASILLA,MOVIL,"ACTA PREP"
