AYUNTAMIENTOS
"07/06/2021 13:19 (UTC-7)"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATÁLOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
3748,3787,39,3748,100.0000,3257,86.8996,22.3852,491,1895749,834884,831581,44.0397

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,CC_PAN_PRI_PRD,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,CAND_IND_EGL,CAND_IND_JAUR,CAND_IND_JRRBC,CAND_IND_EQJ,CAND_IND_CNY,CAND_IND_YCCL,CAND_IND_HJSA,CAND_IND_OOG,CAND_IND_PMR,CAND_IND_CAQR,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'260223C0300,'260223C03004,26,SONORA,030,NOGALES,0223,0003,C,0,1,4,513,237,8,239,85,-,-,-,5,13,29,99,-,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,239,239,708,46,,1,D,d9337f7f0b3227780bf1cf86b4c6b3adbeac5c42bcc7ec49b61dea7a8b31dc00,"06/06/2021 22:27:00","06/06/2021 22:34:46","06/06/2021 22:34:50",CATD,ESCANER,"ACTA PREP"
'260223C0400,'260223C04004,26,SONORA,030,NOGALES,0223,0004,C,0,1,4,523,224,4,228,74,-,-,-,10,4,26,101,-,3,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,228,228,708,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,431066429dd980486486a62a510bd0881bb4bfa3708eef0ef0e1aa1540e5b9fa,"06/06/2021 22:03:04","06/06/2021 22:26:05","06/06/2021 22:26:09",CASILLA,MOVIL,"ACTA PREP"
'260223C0500,'260223C05004,26,SONORA,030,NOGALES,0223,0005,C,0,1,4,505,243,3,245,88,-,-,-,12,7,33,95,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,245,245,708,46,,1,D,cafc89d305dfa489964f3eeb8e9c6cf9489ae5f8ea0fcda6899fa6882a124c6a,"07/06/2021 00:53:00","07/06/2021 01:14:51","07/06/2021 01:14:55",CATD,ESCANER,"ACTA PREP"
'260223C0600,'260223C06004,26,SONORA,030,NOGALES,0223,0006,C,0,1,4,527,223,0,228,85,-,-,-,5,7,28,92,-,5,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,228,228,708,46,,1,D,f36034f1560d8f01645da501ee4cab55cda76dbe43d1e899cbb3ffd5a6da6086,"07/06/2021 00:16:00","07/06/2021 00:39:43","07/06/2021 00:40:06",CATD,ESCANER,"ACTA PREP"
'260223C0700,'260223C07004,26,SONORA,030,NOGALES,0223,0007,C,0,1,4,525,222,3,0,69,-,-,-,6,9,26,106,-,3,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,225,225,708,46,,1,D,b1b0d417150a6b23f55008d3eef8e8bd0f2b2a305e1bae8fd621dfdda79d8120,"07/06/2021 00:16:00","07/06/2021 00:42:14","07/06/2021 00:42:18",CATD,ESCANER,"ACTA PREP"
'260223C0800,'260223C08004,26,SONORA,030,NOGALES,0223,0008,C,0,1,4,485,264,3,268,89,-,-,-,3,11,30,119,-,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,268,268,708,46,,1,D,7a2b4e7f47e6d446136c8e7ffdd675602e768b56d1b94c1bbaeb875e3a7e129b,"07/06/2021 00:54:00","07/06/2021 01:16:58","07/06/2021 01:17:12",CATD,ESCANER,"ACTA PREP"
'260223C0900,'260223C09004,26,SONORA,030,NOGALES,0223,0009,C,0,1,4,496,249,7,0,95,-,-,-,5,11,30,102,-,4,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,256,256,708,46,,1,D,b042216a58e1609d0ff70155b7eb3b9371653792ccfb0c96cebe0651f7806f11,"07/06/2021 05:25:00","07/06/2021 05:26:07","07/06/2021 05:26:42",CATD,ESCANER,"ACTA PREP"
'260223C1000,'260223C10004,26,SONORA,030,NOGALES,0223,0010,C,0,1,4,511,238,2,240,78,-,-,-,5,5,25,115,-,5,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,240,242,707,46,,1,D,1edcedf2f941954805843b1ae309c3976ce33495b13d7334f2133455d2ed9411,"06/06/2021 22:05:42","06/06/2021 22:29:19","06/06/2021 22:29:23",CASILLA,MOVIL,"ACTA PREP"
'260223C1100,'260223C11004,26,SONORA,030,NOGALES,0223,0011,C,0,1,4,471,276,4,280,92,-,-,-,7,6,32,125,-,10,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,280,279,707,46,,1,D,c607bf48b3926a84cc74087a9353261fec51a13e1e8148405b72b8323ae7577a,"06/06/2021 22:18:10","06/06/2021 22:52:28","06/06/2021 22:52:33",CASILLA,MOVIL,"ACTA PREP"
'260223C1200,'260223C12004,26,SONORA,030,NOGALES,0223,0012,C,0,1,4,505,241,5,244,91,-,-,-,6,5,27,103,-,5,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,244,244,707,46,,1,D,1d20aa5d84ec064ec65513394640e4a6924f4ab80d3d8bdea2b5c101c9ae94dd,"06/06/2021 21:22:57","06/06/2021 21:28:36","06/06/2021 21:28:39",CASILLA,MOVIL,"ACTA PREP"
'260223C1300,'260223C13004,26,SONORA,030,NOGALES,0223,0013,C,0,1,4,516,230,4,233,72,-,-,-,7,5,28,107,-,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,233,233,707,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,016aa7d83522b2eb16cd799d336a1d408bda6e7c6b169ba97c3d1a7d4dea9668,"06/06/2021 21:42:33","06/06/2021 21:48:09","06/06/2021 21:48:52",CASILLA,MOVIL,"ACTA PREP"
'260223C1400,'260223C14004,26,SONORA,030,NOGALES,0223,0014,C,0,1,4,508,223,7,241,68,-,-,-,6,3,28,123,-,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,241,242,707,46,,1,D,42755d68808298ecafeb9bf386581e5c57f01c0915d07385f1e49f630a52de79,"06/06/2021 21:32:59","06/06/2021 21:39:26","06/06/2021 21:39:33",CASILLA,MOVIL,"ACTA PREP"
'260223S0100,'260223S01004E,26,SONORA,030,NOGALES,0223,0001,S,0,1,4E,999,0,0,53,14,-,-,-,Ilegible,4,2,28,-,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,53,52,0,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,da42f30bf0edc3539f18bc958442d87027bf13ac6260feff4db2f8737e3a5385,"07/06/2021 04:37:00","07/06/2021 06:32:47","07/06/2021 06:32:51",CATD,ESCANER,"ACTA PREP"
'260225B0100,'260225B01004,26,SONORA,030,NOGALES,0225,0001,B,0,1,4,331,217,6,221,87,-,-,-,4,6,14,94,-,1,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,221,221,511,46,,1,I,039eeace1707d3e0cf6e6471a4da0c8590068a66437f4eef7898b2f70b878cc8,"06/06/2021 23:27:42","07/06/2021 01:42:33","07/06/2021 01:42:42",CASILLA,MOVIL,"ACTA PREP"
'260225C0100,'260225C01004,26,SONORA,030,NOGALES,0225,0001,C,0,1,4,338,217,6,217,98,-,-,-,3,4,25,71,-,1,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,217,217,511,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,7f83b5ac9c9c30f517d145e363622ca3504758583dd5487e57e9b40bc473abde,"06/06/2021 22:36:40","06/06/2021 23:28:39","06/06/2021 23:28:57",CASILLA,MOVIL,"ACTA PREP"
'260225C0200,'260225C02004,26,SONORA,030,NOGALES,0225,0002,C,0,1,4,332,223,0,223,86,-,-,-,4,5,22,91,-,1,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,223,223,511,46,,1,I,ad509b1ad5ba30d693377b7dd505dfadece5f6ba209bc52b9bf0b98922f794e4,"06/06/2021 22:23:14","06/06/2021 23:01:24","06/06/2021 23:01:34",CASILLA,MOVIL,"ACTA PREP"
'260226B0100,'260226B01004,26,SONORA,030,NOGALES,0226,0001,B,0,1,4,448,238,8,246,82,-,-,-,4,12,27,104,-,6,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,246,246,615,46,,1,D,78ec75a00a315c154f5f7394ae1a44373728c9848e2cd2fb4182c847342cdc7e,"06/06/2021 21:24:16","06/06/2021 21:31:07","06/06/2021 21:31:28",CASILLA,MOVIL,"ACTA PREP"
'260226C0100,'260226C01004,26,SONORA,030,NOGALES,0226,0001,C,0,1,4,407,247,6,251,88,-,-,-,9,4,33,102,-,7,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,251,251,615,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,D,e9ce98f867604d495cea23ed5b2a4502a68696b987c6b2c0a9faac3e100e9bec,"06/06/2021 21:42:15","06/06/2021 21:48:21","06/06/2021 21:48:33",CASILLA,MOVIL,"ACTA PREP"
'260226C0200,'260226C02004,26,SONORA,030,NOGALES,0226,0002,C,0,1,4,396,255,7,262,97,-,-,-,5,10,29,102,-,6,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9,262,262,615,46,,1,D,ab75f98478b76fff03df2dbcaf49a5ab185420e2dfaa07622560e9127bc1391e,"06/06/2021 21:59:42","06/06/2021 22:21:04","06/06/2021 22:21:14",CASILLA,MOVIL,"ACTA PREP"
'260228B0100,'260228B01004,26,SONORA,030,NOGALES,0228,0001,B,0,2,4,0,0,0,0,94,-,-,-,17,40,10,83,-,4,4,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,19,288,288,626,46,,1,I,6babeb4814b35e07ca3166bfc07489895a56a629ddf66c8f525ce1413f3cf792,"07/06/2021 03:06:00","07/06/2021 04:20:34","07/06/2021 04:20:44",CATD,ESCANER,"ACTA PREP"
'260229B0100,'260229B01004,26,SONORA,030,NOGALES,0229,0001,B,0,2,4,434,0,0,232,90,-,-,-,13,17,14,61,-,13,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,18,232,232,622,46,,1,I,98663a8284233425dda320540c8f08652add9f71b1cfc7078c7da547e569758d,"07/06/2021 02:40:00","07/06/2021 03:16:07","07/06/2021 03:19:07",CATD,ESCANER,"ACTA PREP"
'260229C0100,'260229C01004,26,SONORA,030,NOGALES,0229,0001,C,0,2,4,425,238,2,0,85,-,-,-,19,18,18,72,-,5,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15,239,239,621,46,,1,I,63d267251cf7375187f225f437308c52e7f371de9722eaa837507038144650cd,"07/06/2021 02:36:00","07/06/2021 03:08:26","07/06/2021 03:08:31",CATD,ESCANER,"ACTA PREP"
'260231B0100,'260231B01004,26,SONORA,030,NOGALES,0231,0001,B,0,1,4,472,169,3,172,60,-,-,-,7,8,14,72,-,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,172,172,600,46,,1,I,5a67621835fbcb946e7af3aaa71edc1594e30d283505ce28071d7c4d21d1facf,"07/06/2021 02:01:00","07/06/2021 02:31:57","07/06/2021 02:32:01",CATD,ESCANER,"ACTA PREP"
'260231C0100,'260231C01004,26,SONORA,030,NOGALES,0231,0001,C,0,1,4,464,174,5,179,57,-,-,-,4,8,17,79,-,2,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9,179,179,599,46,,1,I,972789430e7ff4409749c8307576a160680a42ee1810e11deb6af58d5dc2db4a,"07/06/2021 04:35:00","07/06/2021 05:41:01","07/06/2021 05:41:15",CATD,ESCANER,"ACTA PREP"
'260231C0200,'260231C02004,26,SONORA,030,NOGALES,0231,0002,C,0,1,4,429,211,4,0,72,-,-,-,8,5,22,98,-,1,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,213,213,599,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,7a0326c930698c8e27927760af3238dadddaeeb88783bd5e5783cc1e95879e0c,"07/06/2021 04:35:00","07/06/2021 05:31:29","07/06/2021 05:31:43",CATD,ESCANER,"ACTA PREP"
'261368B0100,'261368B01004,26,SONORA,030,NOGALES,1368,0001,B,0,1,4,337,0,3,361,194,-,-,-,5,9,45,88,-,9,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,361,361,656,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,24512abdd6564f88a1b2df8fbd581fba0ade0c87282131fdc95e920e3f57ef1b,"06/06/2021 23:32:06","07/06/2021 01:54:44","07/06/2021 01:54:59",CASILLA,MOVIL,"ACTA PREP"
'261369B0100,'261369B01004,26,SONORA,030,NOGALES,1369,0001,B,0,1,4,364,211,9,216,72,-,-,-,4,10,20,97,-,6,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,216,216,537,46,,1,I,88771e231b0155318fcf681230ccf494b5f45ab3404dd8e2772a434f8d2f794f,"06/06/2021 22:29:30","06/06/2021 23:12:55","06/06/2021 23:13:12",CASILLA,MOVIL,"ACTA PREP"
'261370B0100,'261370B01004,26,SONORA,030,NOGALES,1370,0001,B,0,1,4,292,141,3,144,35,-,-,-,8,3,16,72,-,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,144,144,392,46,,1,I,57748ec18ac35c72e280ab41fb271a1d48e5fa8e0c7c77c6450343cadfc74476,"06/06/2021 21:02:42","06/06/2021 21:05:38","06/06/2021 21:05:56",CASILLA,MOVIL,"ACTA PREP"
'261370C0100,'261370C01004,26,SONORA,030,NOGALES,1370,0001,C,0,1,4,278,157,4,155,41,-,-,-,6,5,20,80,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,155,155,391,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,1af05beef44e916bc585a2441b7726f11a3d8820e4da448e51fcc657f98057e8,"06/06/2021 21:41:19","07/06/2021 00:10:34","07/06/2021 00:10:40",CASILLA,MOVIL,"ACTA PREP"
'261371B0100,'261371B01004,26,SONORA,030,NOGALES,1371,0001,B,0,1,4,423,202,6,202,50,-,-,-,8,6,22,104,-,5,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,202,202,592,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,0a59b70c78c6b4c6f0827624571adf4b7e07984660ad7e30dfd9460267dcc2a8,"06/06/2021 22:22:34","07/06/2021 01:09:54","07/06/2021 01:10:39",CASILLA,MOVIL,"ACTA PREP"
'261372B0100,'261372B01004,26,SONORA,030,NOGALES,1372,0001,B,0,1,4,720,251,7,1,53,-,-,-,7,13,20,138,-,7,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,256,256,710,46,,1,I,61e97dec9ea5757643d4c230a187ec34c745082f4dbad7d3f7c53815f8fa96aa,"06/06/2021 23:59:16","07/06/2021 02:36:30","07/06/2021 02:36:47",CASILLA,MOVIL,"ACTA PREP"
'261373B0100,'261373B01004,26,SONORA,030,NOGALES,1373,0001,B,0,1,4,451,151,4,155,31,-,-,-,11,6,12,87,-,4,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,155,155,600,46,,1,I,31d8fe1c7596dbb946c7ab4a6d5a5719b21da301ff707a9d76f8329534daae9c,"06/06/2021 21:54:56","06/06/2021 22:10:20","06/06/2021 22:10:39",CASILLA,MOVIL,"ACTA PREP"
'261373C0100,'261373C01004,26,SONORA,030,NOGALES,1373,0001,C,0,1,4,458,180,4,0,31,-,-,-,8,10,14,103,-,7,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,183,183,599,46,,1,I,b4d25cc463e1eb7ffb7e2ad94934fcbe00b189a7296d81516c29a0312f6d7f0d,"06/06/2021 21:33:06","06/06/2021 21:39:06","06/06/2021 21:39:13",CASILLA,MOVIL,"ACTA PREP"
'261374B0100,'261374B01002,26,SONORA,030,NOGALES,1374,0001,B,0,1,2,0,0,0,0,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,409,46,"TODO ILEGIBLE O SIN DATO",0,I,9958f5f7241db73b812c2843d2581dc774f8cd38cb70ca613dfb3ccaf183c6bf,"06/06/2021 20:56:18","06/06/2021 23:12:22","06/06/2021 23:12:34",CASILLA,MOVIL,"ACTA PREP"
'261375B0100,'261375B01004,26,SONORA,030,NOGALES,1375,0001,B,0,1,4,0,0,0,0,47,-,-,-,2,10,11,92,-,2,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,171,171,630,46,,1,I,00c5ce35e1bdbb073e703537d8d0879663ab2d6f0941b4319ce555bc991ac187,"07/06/2021 04:49:00","07/06/2021 05:38:47","07/06/2021 05:39:14",CATD,ESCANER,"ACTA PREP"
'261376B0100,'261376B01004,26,SONORA,030,NOGALES,1376,0001,B,0,1,4,467,190,3,193,45,-,-,-,9,14,14,100,-,65,6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,193,256,616,46,,1,I,663ed53c09de5d455750a537e0d399b0604b98215aa00816166ef5189e4c102a,"07/06/2021 04:49:00","07/06/2021 05:48:23","07/06/2021 05:48:41",CATD,ESCANER,"ACTA PREP"
'261376C0100,'261376C01004,26,SONORA,030,NOGALES,1376,0001,C,0,1,4,448,210,4,210,52,-,-,-,6,8,14,119,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,210,210,616,46,,1,I,b0648af08abc394c97a0f851406ed750fbac1b0c08f06e4f078634805bac7af4,"07/06/2021 04:50:00","07/06/2021 05:33:20","07/06/2021 05:33:31",CATD,ESCANER,"ACTA PREP"
'261377B0100,'261377B01004,26,SONORA,030,NOGALES,1377,0001,B,0,1,4,409,144,4,0,43,-,-,-,0,6,13,71,-,4,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,147,147,513,46,,1,I,35dcaa9b4ae43cfb40036ddc72220af0732fe9a8b685aae2229b13f53cce77fc,"07/06/2021 04:58:00","07/06/2021 05:38:07","07/06/2021 05:38:29",CATD,ESCANER,"ACTA PREP"
'261377C0100,'261377C01004,26,SONORA,030,NOGALES,1377,0001,C,0,1,4,396,156,4,0,44,-,-,-,2,2,11,84,-,6,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,160,160,512,46,,1,I,0d96259f61fc636723820d272f77076b4c1cc4e0984e64889f70dd3daac8094f,"06/06/2021 23:52:52","07/06/2021 02:29:18","07/06/2021 02:29:24",CASILLA,MOVIL,"ACTA PREP"
'261377C0200,'261377C02004,26,SONORA,030,NOGALES,1377,0002,C,0,1,4,410,142,3,145,40,-,-,-,4,3,10,77,-,2,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,145,145,512,46,,1,I,ab7b2a6aa98487705bc6ea205ad9e52cbe6131f567681cd9364e1d1e152964ff,"06/06/2021 23:44:22","07/06/2021 02:09:48","07/06/2021 02:10:09",CASILLA,MOVIL,"ACTA PREP"
'261378B0100,'261378B01004,26,SONORA,030,NOGALES,1378,0001,B,0,1,4,486,230,0,230,78,-,-,-,5,9,19,111,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,230,230,675,46,,1,I,e1d3f81c494b90b7277442bb64f5018a64cab3c575eb88e6659d5b2376adc2fa,"06/06/2021 21:43:40","06/06/2021 21:51:27","06/06/2021 21:51:56",CASILLA,MOVIL,"ACTA PREP"
'261378C0100,'261378C01004,26,SONORA,030,NOGALES,1378,0001,C,0,1,4,503,212,5,0,40,-,-,-,5,3,23,121,-,3,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9,212,212,674,46,,1,I,82d6f1640b9da9c939b9fc7c47971d5fd74fcc03ffa70173a2f74d22bd6135cf,"07/06/2021 01:08:00","07/06/2021 01:43:02","07/06/2021 01:43:25",CATD,ESCANER,"ACTA PREP"
'261379B0100,'261379B01004,26,SONORA,030,NOGALES,1379,0001,B,0,1,4,247,173,9,182,69,-,-,-,9,5,31,56,-,2,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,182,181,386,46,,1,I,c3c5c4c8139cd38b377c2da6f31535ef1466689852c4c43823f245f72f4fedd7,"06/06/2021 23:37:04","07/06/2021 02:01:04","07/06/2021 02:01:10",CASILLA,MOVIL,"ACTA PREP"
'261379C0100,'261379C01004,26,SONORA,030,NOGALES,1379,0001,C,0,1,4,250,174,5,179,67,-,-,-,7,9,30,59,-,3,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,179,179,385,46,,1,I,513cd47e8b0c590f77e7ab9d79a0990adc784e1d2f52e9ce879b1e6edbf3e430,"06/06/2021 20:52:53","06/06/2021 20:57:10","06/06/2021 20:57:21",CASILLA,MOVIL,"ACTA PREP"
'261380B0100,'261380B01004,26,SONORA,030,NOGALES,1380,0001,B,0,1,4,340,251,6,257,89,-,-,-,10,5,29,105,-,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,257,257,553,46,,1,I,2321c362e17ee0919b72524517d9c38e8eefd891bc9908e3db54789cd4513711,"07/06/2021 02:29:00","07/06/2021 02:42:17","07/06/2021 02:42:24",CATD,ESCANER,"ACTA PREP"
'261381B0100,'261381B01004,26,SONORA,030,NOGALES,1381,0001,B,0,1,4,434,200,4,204,72,-,-,-,12,6,19,82,-,1,"Sin dato",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,204,211,595,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,382b8bf22bc4aa6ec5bb59e81624d93ffa603fb956257496b50c590285be2323,"07/06/2021 00:13:08","07/06/2021 05:05:22","07/06/2021 05:06:31",CASILLA,MOVIL,"ACTA PREP"
'261382B0100,'261382B01004,26,SONORA,030,NOGALES,1382,0001,B,0,1,4,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,708,46,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,I,,"07/06/2021 08:11:00","07/06/2021 08:12:19","07/06/2021 08:12:19",CATD,ESCANER,"ACTA PREP"
'261383B0100,'261383B01004,26,SONORA,030,NOGALES,1383,0001,B,0,1,4,377,193,5,198,52,-,-,-,10,9,22,84,-,4,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7,198,198,531,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,c3f71e442ac16252ae96cef7395b497d9a93733e92ba504d4d4276c1b258998d,"06/06/2021 22:36:26","06/06/2021 23:28:05","06/06/2021 23:28:25",CASILLA,MOVIL,"ACTA PREP"
'261384B0100,'261384B01004,26,SONORA,030,NOGALES,1384,0001,B,0,1,4,0,196,2,199,52,-,-,-,7,11,32,85,-,2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,199,199,530,46,,1,I,72ed90248e1b64d6ea097c39dc1c41d1a491d92cc24c87a7d8dd0bf0e4c53d8d,"06/06/2021 22:15:00","06/06/2021 22:46:33","06/06/2021 22:46:37",CASILLA,MOVIL,"ACTA PREP"
'261384C0100,'261384C01004,26,SONORA,030,NOGALES,1384,0001,C,0,1,4,352,219,2,0,51,-,-,-,14,5,26,110,-,4,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,213,219,529,46,,1,I,87e64c8c942f6c677fbad3529c9ad4d5c7a6e50a67698d770545fe6e55ed8b1e,"06/06/2021 20:17:23","06/06/2021 20:23:49","06/06/2021 20:23:54",CASILLA,MOVIL,"ACTA PREP"
'261385B0100,'261385B01004,26,SONORA,030,NOGALES,1385,0001,B,0,1,4,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,572,46,"SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE",0,I,,"07/06/2021 08:12:00","07/06/2021 08:12:35","07/06/2021 08:12:35",CATD,ESCANER,"ACTA PREP"
'261385C0100,'261385C01004,26,SONORA,030,NOGALES,1385,0001,C,0,1,4,438,175,3,175,61,-,-,-,7,6,8,77,-,2,"Sin dato",6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,175,175,572,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,744d3f4e9e9592185fb33973c158dd2c660aed9ba1567ca0394e5e5b2ba79f2a,"06/06/2021 22:56:45","07/06/2021 00:37:37","07/06/2021 00:37:46",CASILLA,MOVIL,"ACTA PREP"
'261385C0200,'261385C02004,26,SONORA,030,NOGALES,1385,0002,C,0,1,4,451,166,1,167,47,-,-,-,5,4,12,93,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,166,166,572,46,,1,I,94579f2dda22542cc9c370654a6102139c655b379da7ff6cb7affeda871d963f,"07/06/2021 03:14:00","07/06/2021 03:37:45","07/06/2021 03:38:01",CATD,ESCANER,"ACTA PREP"
'261386B0100,'261386B01004,26,SONORA,030,NOGALES,1386,0001,B,0,1,4,392,163,3,167,53,-,-,-,10,3,11,81,-,2,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,167,167,515,46,,1,I,bacf8e1d1caaca4db5c4afe1de69bc203615ccc50a0e407b75995dbfdcc03e9e,"07/06/2021 04:56:00","07/06/2021 05:50:12","07/06/2021 05:51:15",CATD,ESCANER,"ACTA PREP"
'261386C0100,'261386C01004,26,SONORA,030,NOGALES,1386,0001,C,0,1,4,407,150,1,151,55,-,-,-,3,8,12,66,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,151,151,515,46,"ALGÚN CAMPO ILEGIBLE O SIN DATO",1,I,f9bb1279e52005fc6a8f79baed5dcde6e510a0f9c5dda5c30781795d8c792fbf,"07/06/2021 04:56:00","07/06/2021 05:48:38","07/06/2021 05:48:41",CATD,ESCANER,"ACTA PREP"
